name,team,pos,cap_hit,years_remaining,expiry_year,expiry_status,team_current_spotrac,team_source
Pavel Zacha,BOS,C,4750000,2,2027,UFA,BOS,eh_2025-26
Jason Zucker,BUF,LW/RW,4750000,2,2027,UFA,BUF,eh_2025-26
Frank Vatrano,ANA,LW/C,4571000,,,,ANA,eh_2025-26
Kaapo Kakko,SEA,RW,4525000,3,2028,UFA,SEA,eh_2025-26
Mikael Backlund,CGY,C,4500000,3,2028,UFA,CGY,eh_2025-26
Michael Bunting,DAL/NSH,LW,4500000,1,2026,UFA,DAL,eh_2025-26
Matt Duchene,DAL,C/LW,4500000,4,2029,UFA,DAL,eh_2025-26
Nick Foligno,CHI/MIN,LW/RW,4500000,1,2026,UFA,MIN,eh_2025-26
Artturi Lehkonen,COL,LW,4500000,2,2027,UFA,COL,eh_2025-26
Mason Marchment,CBJ/SEA,LW,4500000,1,2026,UFA,CBJ,eh_2025-26
Ryan O'Reilly,NSH,C,4500000,2,2027,UFA,NSH,eh_2025-26
Filip Chytil,VAN,LW,4438000,2,2027,UFA,VAN,eh_2025-26
John Tavares,TOR,C,4389000,4,2029,UFA,TOR,eh_2025-26
Morgan Frost,CGY,C,4375000,2,2027,UFA,CGY,eh_2025-26
Lawson Crouse,UTA,LW,4300000,2,2027,UFA,UTA,eh_2025-26
Andrei Kuzmenko,LAK,LW,4300000,1,2026,UFA,LAK,eh_2025-26
Fabian Zetterlund,OTT,LW,4275000,3,2028,UFA,OTT,eh_2025-26
Jason Dickinson,CHI/EDM,C,4250000,6,2031,UFA,EDM,eh_2025-26
Jack McBain,UTA,C,4250000,5,2030,UFA,UTA,eh_2025-26
Trevor Moore,LAK,LW,4200000,3,2028,UFA,LAK,eh_2025-26
Dmitri Voronkov,CBJ,LW,4175000,2,2027,RFA,CBJ,eh_2025-26
Pius Suter,STL,C,4125000,2,2027,UFA,STL,eh_2025-26
Mats Zuccarello-Aasen,MIN,RW/LW,4125000,1,2026,UFA,MIN,eh_2025-26
Alex Laferriere,LAK,RW,4100000,3,2028,RFA,LAK,eh_2025-26
Viktor Arvidsson,BOS,LW/RW,4000000,1,2026,UFA,BOS,eh_2025-26
Noah Cates,PHI,LW,4000000,4,2029,UFA,PHI,eh_2025-26
Ross Colton,COL,C,4000000,2,2027,UFA,COL,eh_2025-26
Ryan Donato,CHI,C,4000000,4,2029,UFA,CHI,eh_2025-26
Jonathan Drouin,NYI/STL,LW,4000000,1,2026,UFA,STL,eh_2025-26
Marcus Foligno,MIN,LW,4000000,3,2028,UFA,MIN,eh_2025-26
Jordan Greenway,BUF,LW,4000000,2,2027,UFA,BUF,eh_2025-26
Ryan Hartman,MIN,RW,4000000,2,2027,UFA,MIN,eh_2025-26
Dawson Mercer,NJD,RW,4000000,2,2027,RFA,NJD,eh_2025-26
Nino Niederreiter,WPG,RW,4000000,2,2027,UFA,WPG,eh_2025-26
David Perron,DET/OTT,LW/RW,4000000,1,2026,UFA,DET,eh_2025-26
Will Cuylle,NYR,LW,3900000,2,2027,RFA,NYR,eh_2025-26
Trent Frederic,EDM,C,3850000,8,2033,UFA,EDM,eh_2025-26
Kirill Marchenko,CBJ,LW,3850000,2,2027,RFA,CBJ,eh_2025-26
Connor Zary,CGY,C,3775000,3,2028,RFA,CGY,eh_2025-26
Max Domi,TOR,LW/C,3750000,3,2028,UFA,TOR,eh_2025-26
Tyson Foerster,PHI,C,3750000,10,2035,UFA,PHI,eh_2025-26
Boone Jenner,CBJ,C,3750000,1,2026,UFA,CBJ,eh_2025-26
Jake Neighbours,STL,LW,3750000,2,2027,RFA,STL,eh_2025-26
Shane Pinto,OTT,C,3750000,5,2030,UFA,OTT,eh_2025-26
Alex Iafallo,WPG,C,3667000,3,2028,UFA,WPG,eh_2025-26
Barclay Goodrow,SJS,LW,3642000,2,2027,UFA,SJS,eh_2025-26
Simon Holmstrom,NYI,RW,3625000,2,2027,RFA,NYI,eh_2025-26
Andrew Mangiapane,CHI/EDM,LW,3600000,2,2027,UFA,CHI,eh_2025-26
Anthony Duclair,NYI,LW/RW,3500000,3,2028,UFA,NYI,eh_2025-26
Warren Foegele,LAK/OTT,LW,3500000,2,2027,UFA,OTT,eh_2025-26
Thomas Novak,PIT,C,3500000,5,2030,UFA,PIT,spotrac_current
Yakov Trenin,MIN,C,3500000,3,2028,UFA,MIN,eh_2025-26
Eeli Tolvanen,SEA,RW,3475000,1,2026,UFA,SEA,eh_2025-26
Matias Maccelli,TOR,LW,3425000,1,2026,UFA,TOR,eh_2025-26
Tanner Jeannot,BOS,LW,3400000,5,2030,UFA,BOS,eh_2025-26
Aliaksei Protas,WSH,C,3375000,4,2029,UFA,WSH,eh_2025-26
Jack Quinn,BUF,RW,3375000,2,2027,RFA,BUF,eh_2025-26
Kirby Dach,MTL,C,3363000,2,2027,UFA,MTL,eh_2025-26
Ridly Greig,OTT,LW,3250000,4,2029,UFA,OTT,eh_2025-26
Dakota Joshua,TOR,C,3250000,3,2028,UFA,TOR,eh_2025-26
Adam Lowry,WPG,LW,3250000,6,2031,UFA,WPG,eh_2025-26
Gustav Nyquist,WPG,RW/C/LW,3250000,1,2026,UFA,WPG,eh_2025-26
Cole Perfetti,WPG,C,3250000,6,2031,UFA,WPG,eh_2025-26
Michael Rasmussen,DET,C,3200000,3,2028,UFA,DET,eh_2025-26
Taylor Hall,CAR,LW/C,3167000,3,2028,UFA,CAR,eh_2025-26
Erik Haula,NSH,C,3150000,1,2026,UFA,NSH,eh_2025-26
Nicholas Paul,TBL,C,3150000,4,2029,UFA,TBL,eh_2025-26
Jordan Martinook,CAR,LW,3050000,2,2027,UFA,CAR,eh_2025-26
Connor Brown,NJD,RW,3000000,4,2029,UFA,NJD,eh_2025-26
Nic Dowd,VGK/WSH,C,3000000,2,2027,UFA,VGK,eh_2025-26
Pierre Engvall,NYI,LW,3000000,5,2030,UFA,NYI,spotrac_current
Luke Evangelista,NSH,RW,3000000,2,2027,RFA,NSH,eh_2025-26
Adam Henrique,EDM,C,3000000,1,2026,UFA,EDM,eh_2025-26
Nils Hoglander,VAN,LW,3000000,3,2028,UFA,VAN,eh_2025-26
Patrick Kane,DET,RW/C,3000000,1,2026,UFA,DET,eh_2025-26
Alexander Kerfoot,UTA,C,3000000,1,2026,UFA,UTA,eh_2025-26
Scott Laughton,LAK/TOR,C,3000000,1,2026,UFA,LAK,eh_2025-26
Eetu Luostarinen,FLA,C,3000000,10,2035,UFA,FLA,eh_2025-26
Vladislav Namestnikov,WPG,C/RW,3000000,2,2027,UFA,WPG,eh_2025-26
Mathieu Olivier,CBJ,RW,3000000,6,2031,UFA,CBJ,eh_2025-26
Evan Rodrigues,FLA,LW,3000000,2,2027,UFA,FLA,eh_2025-26
Nicolas Roy,COL/TOR,C,3000000,2,2027,UFA,COL,eh_2025-26
Mason Appleton,DET,C,2900000,2,2027,UFA,DET,eh_2025-26
Alex Newhook,MTL,C,2900000,2,2027,RFA,MTL,eh_2025-26
Jordan Staal,CAR,C,2900000,2,2027,UFA,CAR,eh_2025-26
Colton Sissons,VGK,C,2857000,1,2026,UFA,VGK,eh_2025-26
Jake Evans,MTL,C,2850000,4,2029,UFA,MTL,eh_2025-26
Anthony Beauvillier,WSH,LW,2750000,2,2027,UFA,WSH,eh_2025-26
Stefan Noesen,NJD,RW,2750000,2,2027,UFA,NJD,eh_2025-26
Barrett Hayton,UTA,C,2650000,2,2027,UFA,UTA,eh_2025-26
Michael Amadio,OTT,C,2600000,2,2027,UFA,OTT,eh_2025-26
Joel Armia,LAK,RW,2500000,2,2027,UFA,LAK,eh_2025-26
Casey Cizikas,NYI,C,2500000,2,2027,UFA,NYI,eh_2025-26
Cody Glass,NJD,C,2500000,2,2027,UFA,NJD,eh_2025-26
Brett Howden,VGK,C,2500000,5,2030,UFA,VGK,eh_2025-26
Keegan Kolesar,VGK,RW,2500000,3,2028,UFA,VGK,eh_2025-26
Anthony Mantha,PIT,RW,2500000,1,2026,UFA,PIT,eh_2025-26
Drew O'Connor,VAN,LW,2500000,2,2027,UFA,VAN,eh_2025-26
Logan O'Connor,COL,C,2500000,6,2031,UFA,COL,eh_2025-26
Brandon Tanev,UTA,C/LW/RW,2500000,3,2028,UFA,UTA,eh_2025-26
Miles Wood,CBJ,LW,2500000,4,2029,UFA,CBJ,eh_2025-26
Garnet Hathaway,PHI,RW,2400000,2,2027,UFA,PHI,eh_2025-26
Yanni Gourde,TBL,C,2333000,6,2031,UFA,TBL,eh_2025-26
Dylan Holloway,STL,C,2290000,6,2031,UFA,STL,eh_2025-26
Danton Heinen,CBJ/PIT,C,2250000,1,2026,UFA,CBJ,eh_2025-26
Cole Sillinger,CBJ,C,2250000,4,2029,UFA,CBJ,eh_2025-26
Maxim Tsyplakov,NJD/NYI,RW,2250000,2,2027,UFA,NJD,eh_2025-26
Yegor Chinakhov,CBJ/PIT,RW,2100000,4,2029,UFA,PIT,eh_2025-26
Frederick Gaudreau,SEA,C,2100000,3,2028,UFA,SEA,spotrac_current
Calle Jarnkrok,TOR,C,2100000,1,2026,UFA,TOR,eh_2025-26
Connor McMichael,WSH,C,2100000,7,2032,UFA,WSH,eh_2025-26
Sam Steel,DAL,C,2100000,2,2027,UFA,DAL,eh_2025-26
Noel Acciari,PIT,C,2000000,1,2026,UFA,PIT,eh_2025-26
William Carrier,CAR,LW,2000000,5,2030,UFA,CAR,eh_2025-26
Radek Faksa,DAL,C,2000000,3,2028,UFA,DAL,eh_2025-26
Adam Gaudette,SJS,C,2000000,2,2027,UFA,SJS,eh_2025-26
Claude Giroux,OTT,C/RW,2000000,1,2026,UFA,OTT,eh_2025-26
Sam Lafferty,CHI,C,2000000,1,2026,UFA,CHI,eh_2025-26
Ryan Lomberg,CGY,LW,2000000,1,2026,UFA,CGY,eh_2025-26
Corey Perry,LAK/TBL,RW,2000000,1,2026,UFA,TBL,eh_2025-26
Brandon Saad,VGK,LW/RW,2000000,1,2026,UFA,VGK,eh_2025-26
Reilly Smith,VGK,RW/LW,2000000,1,2026,UFA,VGK,eh_2025-26
Kevin Stenlund,UTA,C,2000000,1,2026,UFA,UTA,eh_2025-26
Nico Sturm,MIN,C,2000000,2,2027,UFA,MIN,eh_2025-26
Jonathan Toews,WPG,C,2000000,1,2026,UFA,WPG,eh_2025-26
Ryan Poehling,ANA,C,1900000,5,2030,UFA,ANA,eh_2025-26
Morgan Barron,WPG,C,1850000,2,2027,UFA,WPG,eh_2025-26
Brandon Duhaime,WSH,RW,1850000,1,2026,UFA,WSH,eh_2025-26
Sean Kuraly,BOS,C,1850000,2,2027,UFA,BOS,eh_2025-26
Blake Lizotte,PIT,C,1850000,4,2029,UFA,PIT,eh_2025-26
Pavel Dorofeyev,VGK,LW,1835000,8,2033,UFA,VGK,eh_2025-26
Jonatan Berggren,DET/STL,RW,1825000,2,2027,RFA,STL,eh_2025-26
Nicholas Robertson,TOR,LW,1825000,3,2028,RFA,TOR,spotrac_current
Theodor Blueger,VAN,C,1800000,1,2026,UFA,VAN,eh_2025-26
Justin Danforth,BUF,RW,1800000,2,2027,UFA,BUF,eh_2025-26
Carl Grundstrom,PHI,RW,1800000,2,2027,UFA,PHI,eh_2025-26
Kent Johnson,CBJ,C,1800000,2,2027,RFA,CBJ,eh_2025-26
Nick Bjugstad,NJD/STL,C,1750000,2,2027,UFA,NJD,eh_2025-26
Nicolas Deslauriers,CAR/PHI,LW,1750000,3,2028,UFA,CAR,eh_2025-26
Jack Drury,COL,C,1725000,6,2031,UFA,COL,eh_2025-26
Eric Robinson,CAR,LW,1700000,4,2029,UFA,CAR,eh_2025-26
Alexei Toropchenko,STL,RW,1700000,3,2028,UFA,STL,spotrac_current
Victor Olofsson,CGY/COL,RW,1575000,1,2026,UFA,CGY,eh_2025-26
Mark Kastelic,BOS,C,1567000,3,2028,UFA,BOS,eh_2025-26
Pontus Holmberg,TBL,RW,1550000,2,2027,UFA,TBL,eh_2025-26
Jesper Boqvist,FLA,C,1500000,2,2027,UFA,FLA,eh_2025-26
Justin Brazeau,PIT,RW,1500000,2,2027,UFA,PIT,eh_2025-26
Bobby Brink,MIN/PHI,RW,1500000,2,2027,RFA,MIN,eh_2025-26
Taylor Raddysh,NYR,RW,1500000,2,2027,UFA,NYR,eh_2025-26
Jack Roslovic,EDM,C,1500000,1,2026,UFA,EDM,eh_2025-26
Kiefer Sherwood,SJS/VAN,LW,1500000,6,2031,UFA,SJS,eh_2025-26
Oskar Sundqvist,STL,C,1500000,1,2026,UFA,STL,eh_2025-26
Owen Michaels,EDM,F,1484000,3,2028,RFA,EDM,spotrac_current
Michael Eyssimont,BOS,C,1450000,2,2027,UFA,BOS,eh_2025-26
Mattias Janmark,EDM,C,1450000,2,2027,UFA,EDM,eh_2025-26
Peyton Krebs,BUF,C,1450000,5,2030,UFA,BUF,eh_2025-26
Steven Lorentz,TOR,C,1350000,3,2028,UFA,TOR,eh_2025-26
Beck Malenstyn,BUF,LW,1350000,6,2031,UFA,BUF,eh_2025-26
Bobby McMann,SEA/TOR,C,1350000,7,2032,UFA,SEA,eh_2025-26
Ryan Reaves,SJS,RW,1350000,1,2026,UFA,SJS,eh_2025-26
Ty Dellandrea,SJS,C,1300000,3,2028,UFA,SJS,eh_2025-26
Kasperi Kapanen,EDM,RW,1300000,1,2026,UFA,EDM,eh_2025-26
Isac Lundestrom,CBJ,C,1300000,2,2027,UFA,CBJ,eh_2025-26
Lars Eller,OTT,C/LW/RW,1250000,1,2026,UFA,OTT,eh_2025-26
Tye Kartye,NYR/SEA,LW,1250000,2,2027,RFA,NYR,eh_2025-26
Joel Kiviranta,COL,LW,1250000,1,2026,UFA,COL,eh_2025-26
Adam Klapka,CGY,RW,1250000,2,2027,RFA,CGY,eh_2025-26
Gage Goncalves,TBL,C,1200000,2,2027,RFA,TBL,eh_2025-26
