name,team,pos,cap_hit,years_remaining,expiry_year,expiry_status,team_current_spotrac,team_source
Samuel Honzek,CGY,LW,887000,3,2028,RFA,CGY,eh_2025-26
Marco Kasper,DET,C,887000,2,2027,RFA,DET,eh_2025-26
Joakim Kemell,NSH,RW,887000,2,2027,RFA,NSH,eh_2025-26
Jiri Kulich,BUF,C,887000,2,2027,RFA,BUF,eh_2025-26
Brad Lambert,WPG,C,887000,2,2027,RFA,WPG,eh_2025-26
Noah Ostlund,BUF,C,887000,2,2027,RFA,BUF,eh_2025-26
Reid Schaefer,NSH,LW,887000,2,2027,RFA,NSH,eh_2025-26
Shane Wright,SEA,C,887000,2,2027,RFA,SEA,eh_2025-26
Nikita Chibrikov,WPG,RW,876000,3,2028,RFA,WPG,eh_2025-26
Nikita Grebenkin,PHI,RW,875000,3,2028,RFA,PHI,eh_2025-26
Luke Haymes,TOR,C,875000,2,2027,RFA,TOR,eh_2025-26
Jacob Quillan,TOR,C,875000,2,2027,RFA,TOR,eh_2025-26
Easton Cowan,TOR,RW,874000,3,2028,RFA,TOR,eh_2025-26
Justin Hryckowian,DAL,C,870000,3,2028,UFA,DAL,eh_2025-26
Arttu Hyry,DAL,RW,870000,3,2028,UFA,DAL,eh_2025-26
Noah Laba,NYR,F,870000,2,2027,RFA,NYR,eh_2025-26
Ty Mueller,VAN,C,870000,2,2027,RFA,VAN,eh_2025-26
Zakhar Bardakov,COL,C,868000,1,2026,RFA,COL,eh_2025-26
Jaroslav Chmelar,NYR,RW,868000,2,2027,RFA,NYR,eh_2025-26
Jared Wright,LAK,F,868000,2,2027,RFA,LAK,eh_2025-26
Nick Lardis,CHI,LW,865000,3,2028,RFA,CHI,eh_2025-26
Denver Barkey,PHI,C,863000,3,2028,RFA,PHI,eh_2025-26
Zachary Bolduc,MTL,C,863000,1,2026,RFA,MTL,spotrac_current
William Eklund,SJS,LW,863000,4,2029,UFA,SJS,eh_2025-26
Zachary L'Heureux,NSH,LW,863000,3,2028,RFA,NSH,eh_2025-26
Cole O'Hara,NSH,RW,860000,2,2027,RFA,NSH,eh_2025-26
Ryan Tverberg,TOR,C,852000,2,2027,RFA,TOR,eh_2025-26
Zemgus Girgensons,TBL,C/LW,850000,2,2027,UFA,TBL,eh_2025-26
A.J. Greer,FLA,LW,850000,5,2030,UFA,FLA,eh_2025-26
Hendrix Lapierre,WSH,C,850000,3,2028,RFA,WSH,eh_2025-26
Alex Steeves,BOS,C,850000,3,2028,UFA,BOS,eh_2025-26
Dominic Toninato,CHI,C,850000,2,2027,UFA,CHI,eh_2025-26
Ryan Winterton,SEA,C,828000,3,2028,RFA,SEA,eh_2025-26
Oskar Back,DAL,C,825000,2,2027,UFA,DAL,eh_2025-26
Nick Cousins,OTT,C/LW,825000,2,2027,UFA,OTT,eh_2025-26
Colton Dach,CHI/EDM,C,825000,3,2028,RFA,EDM,eh_2025-26
Parker Kelly,COL,C,825000,5,2030,UFA,COL,eh_2025-26
Zack Ostapchuk,SJS,C,825000,5,2030,UFA,SJS,eh_2025-26
Cole Schwindt,FLA,RW,825000,1,2026,UFA,FLA,eh_2025-26
Justin Sourdif,WSH,C,825000,2,2027,RFA,WSH,eh_2025-26
Emmitt Finnie,DET,C,822000,3,2028,RFA,DET,eh_2025-26
Fraser Minten,BOS,C,817000,2,2027,RFA,BOS,eh_2025-26
Logan Stankoven,CAR,C,814000,9,2034,UFA,CAR,eh_2025-26
Michael Pezzetta,TOR,C,813000,2,2027,UFA,TOR,eh_2025-26
Cole Reinhardt,FLA/VGK,LW,813000,2,2027,UFA,FLA,eh_2025-26
Timmy Washe,ANA,C,813000,2,2027,RFA,ANA,spotrac_current
Adam Sykora,NYR,LW,807000,2,2027,RFA,NYR,eh_2025-26
Samuel Helenius,LAK,C,806000,3,2028,RFA,LAK,eh_2025-26
Rodrigo Abols,PHI,C,800000,1,2026,UFA,PHI,eh_2025-26
Mitchell Chaffee,TBL,RW,800000,1,2026,UFA,TBL,eh_2025-26
Mark Jankowski,CAR,C,800000,3,2028,UFA,CAR,eh_2025-26
Marcus Johansson,MIN,C/LW/RW,800000,1,2026,UFA,MIN,eh_2025-26
Jonny Brodzinski,NYR,C,788000,1,2026,UFA,NYR,eh_2025-26
Jansen Harkins,ANA,C,788000,1,2026,UFA,ANA,eh_2025-26
Alex Barre-Boulet,COL,C,775000,1,2026,UFA,COL,eh_2025-26
Nathan Bastian,DAL,RW,775000,1,2026,UFA,DAL,eh_2025-26
Colin Blackwell,DAL,C,775000,2,2027,UFA,DAL,eh_2025-26
Michael Carcone,UTA,RW,775000,3,2028,UFA,UTA,eh_2025-26
Paul Cotter,NJD,C,775000,1,2026,UFA,NJD,eh_2025-26
Curtis Douglas,TBL/VAN,C,775000,1,2026,UFA,VAN,eh_2025-26
Joshua Dunne,BUF,C,775000,1,2026,UFA,BUF,eh_2025-26
Adam Erne,DAL,LW,775000,1,2026,UFA,DAL,eh_2025-26
Robby Fabbri,MIN/STL,LW,775000,1,2026,UFA,MIN,eh_2025-26
Jack Finley,STL/TBL,C,775000,3,2028,RFA,STL,eh_2025-26
Nolan Foote,FLA,LW,775000,1,2026,UFA,FLA,eh_2025-26
Ethan Frank,WSH,C,775000,3,2028,UFA,WSH,spotrac_current
Jonah Gadjovich,FLA,LW,775000,3,2028,UFA,FLA,eh_2025-26
Luke Glendening,NJD/PHI,C/RW/LW,775000,1,2026,UFA,PHI,eh_2025-26
Noah Gregor,FLA,C,775000,1,2026,UFA,FLA,eh_2025-26
Filip Hallander,PIT,C,775000,2,2027,UFA,PIT,eh_2025-26
Vincent Hinostroza,FLA/MIN,C,775000,1,2026,UFA,FLA,eh_2025-26
Hayden Hodgson,OTT,RW,775000,2,2027,UFA,OTT,eh_2025-26
Tyson Jost,NSH,C/LW/RW,775000,1,2026,UFA,NSH,eh_2025-26
Linus Karlsson,VAN,C,775000,3,2028,UFA,VAN,eh_2025-26
Rory Kerins,CGY,C,775000,2,2027,UFA,CGY,eh_2025-26
Tyson Kozak,BUF,C,775000,3,2028,RFA,BUF,eh_2025-26
Luke Kunin,FLA,C,775000,1,2026,UFA,FLA,eh_2025-26
Curtis Lazar,EDM,C/RW,775000,1,2026,UFA,EDM,eh_2025-26
Zack MacEwen,NJD,C,775000,1,2026,UFA,NJD,eh_2025-26
Kyle MacLean,NYI,LW,775000,2,2027,UFA,NYI,eh_2025-26
Jeff Malott,LAK,LW,775000,1,2026,UFA,LAK,eh_2025-26
Ben Meyers,SEA,LW,775000,3,2028,UFA,SEA,eh_2025-26
Tomas Nosek,FLA,LW,775000,1,2026,UFA,FLA,eh_2025-26
Jakob Pelletier,TBL,LW,775000,3,2028,UFA,TBL,eh_2025-26
Jason Polin,COL,RW,775000,1,2026,UFA,COL,eh_2025-26
Aatu Raty,VAN,C,775000,2,2027,RFA,VAN,eh_2025-26
Pavel Regenda,SJS,LW,775000,1,2026,UFA,SJS,spotrac_current
Kevin Rooney,UTA,C,775000,1,2026,UFA,UTA,eh_2025-26
Scott Sabourin,TBL,RW,775000,2,2027,UFA,TBL,eh_2025-26
Mackie Samoskevich,FLA,RW,775000,4,2029,RFA,FLA,eh_2025-26
Max Sasson,VAN,C,775000,3,2028,UFA,VAN,eh_2025-26
Conor Sheary,NYR,LW,775000,1,2026,UFA,NYR,eh_2025-26
Jeffrey Truchon-Viel,ANA,LW,775000,1,2026,UFA,ANA,spotrac_current
Alex Turcotte,LAK,C,775000,2,2027,RFA,LAK,eh_2025-26
Nathan Walker,STL,LW,775000,3,2028,UFA,STL,eh_2025-26
Taylor Ward,LAK,RW,775000,3,2028,UFA,LAK,eh_2025-26
Ozzy Wiesblatt,NSH,RW,775000,2,2027,RFA,NSH,eh_2025-26
Garrett Wilson,PHI,RW,775000,1,2026,UFA,PHI,eh_2025-26
Kailer Yamamoto,UTA,C,775000,3,2028,UFA,UTA,eh_2025-26
