lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847403784793378483464,2025,Van Riemsdyk-Kasper-Debrincat,DET,line,5on5,3,871.0,17.0,0.64,0.56,0.59,9.63,0.9,0.54,2.62,0.34,4.86,3.74,0.87,0.83,0.81,9.0,4.0,1.0,14.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,9.0,13.0,1.0,2.0,7.0,3.0,1.0,3.0,11.0,1.0,1.0,0.3,0.09,0.5,0.0,0.0,0.0,12.86,13.0,12.09,2.0,0.11,0.51,0.51,0.5,0.47,0.46,6.61,0.5,0.5,1.58,0.19,3.71,2.52,0.5,0.51,0.5,4.0,5.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,9.0,0.0,0.0,10.0,1.0,4.0,7.0,5.0,4.0,0.0,0.12,0.38,0.0,0.0,0.0,0.0,11.61,9.0,9.37,4.0,0.1,0.01,0.0,0.6,0.61,0.61
847745684779468482078,2025,Compher-Larkin-Raymond,DET,line,5on5,7,1943.0,66.0,0.47,0.49,0.48,17.72,1.45,0.88,4.2,0.55,8.44,7.48,1.38,1.35,1.29,15.0,8.0,7.0,30.0,0.0,1.0,0.0,3.0,0.0,12.0,7.0,15.0,23.0,2.0,4.0,21.0,6.0,1.0,11.0,19.0,2.0,2.0,0.44,0.24,0.77,0.0,0.0,0.0,28.43,23.0,21.78,6.0,0.18,0.42,0.42,1.21,1.14,1.12,17.47,1.66,1.31,4.49,0.68,9.4,7.46,1.62,1.67,1.63,13.0,12.0,6.0,31.0,1.0,3.0,0.0,2.0,0.0,10.0,9.0,12.0,24.0,6.0,12.0,16.0,17.0,2.0,12.0,17.0,6.0,2.0,0.39,0.74,0.53,0.0,1.0,0.0,32.06,25.0,25.33,3.0,0.27,0.57,0.57,1.37,1.4,1.4
847742984788918479992,2025,Rasmussen-Copp-Appleton,DET,line,5on5,10,682.0,93.0,0.22,0.5,0.5,5.11,0.18,0.24,1.87,0.17,2.61,1.93,0.18,0.19,0.18,4.0,3.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,4.0,7.0,2.0,4.0,11.0,8.0,0.0,4.0,7.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,9.27,7.0,7.17,2.0,0.05,0.0,0.0,0.23,0.24,0.24,5.33,0.63,0.37,1.01,0.16,2.71,2.11,0.63,0.63,0.63,5.0,2.0,2.0,9.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,0.0,0.0,5.0,4.0,1.0,0.0,4.0,2.0,1.0,0.11,0.29,0.24,0.0,0.0,1.0,8.97,7.0,7.08,0.0,0.08,0.0,0.0,0.71,0.71,0.71
847403784774298483464,2025,Van Riemsdyk-Copp-Kasper,DET,line,5on5,8,844.0,82.0,0.34,0.56,0.46,9.63,0.55,0.59,2.22,0.3,5.34,4.0,0.54,0.51,0.51,9.0,4.0,11.0,24.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,9.0,13.0,1.0,5.0,8.0,9.0,0.0,4.0,12.0,1.0,0.0,0.41,0.13,0.0,0.0,0.0,0.0,22.44,13.0,12.19,1.0,0.12,0.0,0.0,0.67,0.63,0.62,11.37,1.08,0.78,2.72,0.35,5.78,4.29,0.99,1.2,1.1,11.0,4.0,4.0,19.0,2.0,2.0,0.0,3.0,0.0,3.0,5.0,9.0,13.0,1.0,5.0,3.0,6.0,0.0,2.0,11.0,1.0,3.0,0.25,0.1,0.72,1.0,1.0,0.0,21.27,15.0,16.62,0.0,0.16,0.52,0.52,0.72,0.79,0.75
84752798481607,2025,Chiarot-Johansson,DET,pairing,5on5,61,7748.0,357.0,0.29,0.38,0.36,38.78,2.93,2.84,9.96,1.55,22.88,16.83,2.86,2.91,2.84,33.0,24.0,29.0,86.0,1.0,5.0,0.0,9.0,1.0,16.0,25.0,32.0,56.0,12.0,24.0,61.0,42.0,12.0,31.0,47.0,9.0,1.0,1.49,1.14,0.31,1.0,0.0,0.0,86.23,57.0,57.15,8.0,0.59,0.45,0.45,3.07,3.06,3.04,76.62,7.12,5.41,18.9,2.58,38.77,28.23,6.68,6.98,6.56,69.0,32.0,40.0,141.0,3.0,9.0,0.0,11.0,0.0,44.0,34.0,66.0,98.0,10.0,20.0,47.0,38.0,12.0,31.0,67.0,30.0,4.0,2.11,3.82,1.2,2.0,1.0,0.0,137.93,101.0,98.77,15.0,1.14,1.86,1.86,6.4,6.28,6.12
84752798481542,2025,Chiarot-Seider,DET,pairing,5on5,64,13833.0,410.0,0.55,0.54,0.53,120.83,9.32,7.92,31.2,4.11,65.08,48.37,9.1,9.19,8.98,118.0,48.0,75.0,241.0,11.0,7.0,1.0,27.0,1.0,70.0,50.0,107.0,155.0,11.0,25.0,124.0,107.0,14.0,73.0,130.0,30.0,6.0,3.85,3.7,1.77,7.0,3.0,1.0,236.29,166.0,163.45,37.0,1.65,1.67,1.68,9.28,9.13,9.02,106.44,7.69,6.83,27.27,3.6,58.27,44.32,7.45,7.84,7.59,104.0,44.0,61.0,209.0,9.0,8.0,0.0,24.0,0.0,53.0,54.0,95.0,139.0,14.0,31.0,113.0,78.0,11.0,67.0,119.0,24.0,5.0,3.54,2.76,1.4,4.0,2.0,3.0,211.58,148.0,149.3,34.0,1.43,0.91,0.91,8.21,8.37,8.15
847410284774568482802,2025,Mazur-Compher-Perron,DET,line,5on5,5,2104.0,22.0,0.47,0.42,0.45,14.25,1.07,1.01,3.61,0.43,7.38,5.5,1.06,1.07,1.06,15.0,4.0,8.0,27.0,2.0,1.0,0.0,1.0,0.0,6.0,9.0,13.0,17.0,1.0,2.0,11.0,11.0,3.0,4.0,13.0,6.0,0.0,0.38,0.69,0.0,1.0,1.0,0.0,27.41,19.0,19.21,1.0,0.22,0.14,0.14,1.15,1.15,1.14,16.7,1.2,1.27,4.08,0.53,9.26,6.66,1.16,1.22,1.18,14.0,9.0,14.0,37.0,3.0,1.0,0.0,4.0,0.0,8.0,7.0,11.0,20.0,2.0,4.0,20.0,10.0,4.0,9.0,19.0,3.0,1.0,0.53,0.44,0.23,2.0,0.0,1.0,37.12,23.0,23.02,4.0,0.26,0.07,0.07,1.39,1.41,1.37
847933784834648484794,2025,Debrincat-Kasper-Brandsegg-Nygrd,DET,line,5on5,6,1206.0,64.0,0.72,0.68,0.74,14.41,0.96,0.82,4.15,0.48,7.95,5.64,0.95,0.95,0.94,11.0,9.0,10.0,30.0,0.0,0.0,0.0,3.0,0.0,8.0,9.0,11.0,20.0,0.0,0.0,10.0,9.0,1.0,10.0,15.0,5.0,0.0,0.36,0.6,0.0,0.0,0.0,0.0,30.07,20.0,20.08,3.0,0.17,0.0,0.0,1.13,1.12,1.11,5.13,0.37,0.35,1.52,0.17,2.62,1.97,0.37,0.37,0.37,3.0,4.0,7.0,14.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,6.0,0.0,0.0,6.0,11.0,3.0,8.0,6.0,1.0,0.0,0.18,0.19,0.0,0.0,1.0,0.0,13.77,7.0,6.87,7.0,0.07,0.0,0.0,0.45,0.44,0.44
847933784820788483464,2025,Raymond-Kasper-Debrincat,DET,line,5on5,8,666.0,73.0,0.71,0.63,0.6,6.88,0.76,0.57,1.39,0.2,3.6,2.48,0.72,0.74,0.7,5.0,4.0,6.0,15.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,5.0,9.0,0.0,0.0,2.0,5.0,1.0,1.0,5.0,4.0,0.0,0.17,0.59,0.0,0.0,0.0,0.0,14.37,9.0,8.72,0.0,0.12,0.17,0.17,0.7,0.7,0.67,4.3,0.3,0.34,0.75,0.13,2.46,2.02,0.3,0.34,0.34,3.0,3.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,6.0,1.0,2.0,2.0,3.0,0.0,3.0,4.0,2.0,0.0,0.13,0.17,0.0,0.0,0.0,0.0,10.23,6.0,6.83,1.0,0.07,0.0,0.0,0.38,0.42,0.42
847410284788918479942,2025,Perron-Shine-Appleton,DET,line,5on5,2,654.0,8.0,0.81,0.67,0.69,6.66,0.88,0.49,1.82,0.25,3.36,2.21,0.75,0.8,0.68,5.0,4.0,3.0,12.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0,1.0,2.0,4.0,8.0,0.0,3.0,6.0,1.0,2.0,0.08,0.1,0.7,0.0,0.0,0.0,10.66,9.0,8.19,2.0,0.1,0.7,0.7,0.28,0.27,0.26,2.34,0.2,0.2,0.45,0.09,1.84,1.21,0.2,0.21,0.21,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,6.0,8.0,0.0,4.0,3.0,1.0,0.0,0.11,0.09,0.0,0.0,0.0,0.0,6.07,4.0,4.04,2.0,0.04,0.0,0.0,0.24,0.25,0.25
